iter	Passed	Remaining
0	0	990
1	1	967
2	2	893
3	3	871
4	4	850
5	5	846
6	6	859
7	6	857
8	7	857
9	8	867
10	9	868
11	10	861
12	11	865
13	12	864
14	13	861
15	13	858
16	14	854
17	15	847
18	16	842
19	17	842
20	17	836
21	18	838
22	19	835
23	20	831
24	21	828
25	21	824
26	22	819
27	23	821
28	24	818
29	25	815
30	26	814
31	26	813
32	27	812
33	28	813
34	29	811
35	30	809
36	31	809
37	31	809
38	32	808
39	33	806
40	34	803
41	35	800
42	35	801
43	36	798
44	37	794
45	38	791
46	38	787
47	39	784
48	40	781
49	40	777
50	41	772
51	42	767
52	42	764
53	43	762
54	44	758
55	44	754
56	45	752
57	46	749
58	46	747
59	47	744
60	48	745
61	49	744
62	49	742
63	50	739
64	51	738
65	52	737
66	52	735
67	53	733
68	54	731
69	54	729
70	55	727
71	56	725
72	56	722
73	57	720
74	58	717
75	58	715
76	59	713
77	60	711
78	60	708
79	61	706
80	62	704
81	62	703
82	63	698
83	63	697
84	64	697
85	65	695
86	66	694
87	66	693
88	67	691
89	68	690
90	68	688
91	69	686
92	70	683
93	70	681
94	71	680
95	72	678
96	72	676
97	73	674
98	73	672
99	74	670
100	75	668
101	75	666
102	76	664
103	77	663
104	77	663
105	78	662
106	79	661
107	79	660
108	80	659
109	81	659
110	82	658
111	83	658
112	83	656
113	84	655
114	84	653
115	85	652
116	86	650
117	86	649
118	87	647
119	88	646
120	88	644
121	89	643
122	90	642
123	90	640
124	91	641
125	92	640
126	92	638
127	93	636
128	94	635
129	94	634
130	95	632
131	96	631
132	96	630
133	97	630
134	98	629
135	98	628
136	99	628
137	100	627
138	101	626
139	101	625
140	102	623
141	102	621
142	103	619
143	104	618
144	104	617
145	105	616
146	106	618
147	107	617
148	107	616
149	108	615
150	109	614
151	109	613
152	110	611
153	111	610
154	111	610
155	112	609
156	113	608
157	114	607
158	114	606
159	115	605
160	115	603
161	116	601
162	116	600
163	117	599
164	118	598
165	118	597
166	119	595
167	120	594
168	120	594
169	121	593
170	122	594
171	123	594
172	124	593
173	124	593
174	125	592
175	126	592
176	127	592
177	128	592
178	128	591
179	129	590
180	130	590
181	131	589
182	131	588
183	132	587
184	133	586
185	134	587
186	135	587
187	136	587
188	136	586
189	137	586
190	138	585
191	139	585
192	139	584
193	140	583
194	141	582
195	141	581
196	142	581
197	143	580
198	143	579
199	144	578
200	145	577
201	145	576
202	146	575
203	147	574
204	147	572
205	148	572
206	149	571
207	149	570
208	150	569
209	151	568
210	151	567
211	152	567
212	153	566
213	154	565
214	154	564
215	155	564
216	156	563
217	157	563
218	158	563
219	158	563
220	159	562
221	160	561
222	161	561
223	161	560
224	162	560
225	163	560
226	164	559
227	165	559
228	165	558
229	166	558
230	167	557
231	168	557
232	169	556
233	169	556
234	170	555
235	171	555
236	172	555
237	173	555
238	174	554
239	174	553
240	175	553
241	176	553
242	177	552
243	178	551
244	178	550
245	179	549
246	180	548
247	180	548
248	181	547
249	182	547
250	183	546
251	183	546
252	184	545
253	185	544
254	186	544
255	187	544
256	188	543
257	188	543
258	189	542
259	190	542
260	191	541
261	192	541
262	192	540
263	193	539
264	194	539
265	195	538
266	196	538
267	196	537
268	197	536
269	198	535
270	198	535
271	199	534
272	200	533
273	201	533
274	202	533
275	203	532
276	203	532
277	204	531
278	205	531
279	206	531
280	207	530
281	208	529
282	208	529
283	209	528
284	210	527
285	211	527
286	212	526
287	212	526
288	213	525
289	214	525
290	215	524
291	216	524
292	217	523
293	217	523
294	218	522
295	219	522
296	220	521
297	221	521
298	221	520
299	222	519
300	223	518
301	224	517
302	224	517
303	225	516
304	226	515
305	227	514
306	227	514
307	228	513
308	229	512
309	230	512
310	230	511
311	231	510
312	232	510
313	233	509
314	234	509
315	234	508
316	235	507
317	236	506
318	236	505
319	237	504
320	238	504
321	239	503
322	239	502
323	240	501
324	241	500
325	241	500
326	242	499
327	243	498
328	243	497
329	244	496
330	245	495
331	246	495
332	246	494
333	247	493
334	248	493
335	249	492
336	249	491
337	250	490
338	251	490
339	252	489
340	252	488
341	253	487
342	254	486
343	254	486
344	255	485
345	256	484
346	256	483
347	257	482
348	258	481
349	259	481
350	259	480
351	260	479
352	261	478
353	262	478
354	262	477
355	263	476
356	264	476
357	265	475
358	265	474
359	266	473
360	267	473
361	268	472
362	268	471
363	269	471
364	270	470
365	270	469
366	271	468
367	272	467
368	273	467
369	273	466
370	274	465
371	275	464
372	276	464
373	276	463
374	277	462
375	278	462
376	279	461
377	279	460
378	280	459
379	281	458
380	281	457
381	282	457
382	283	456
383	283	455
384	284	454
385	285	453
386	285	452
387	286	452
388	287	451
389	288	450
390	288	450
391	289	449
392	290	448
393	290	447
